path,filename,dialect,speaker,town,passage_id,duration_sec
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_000.wav,elgoibar_egb-046-007_000.wav,western,hizlariak,elgoibar,egb-046-007,4.06
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_001.wav,elgoibar_egb-046-007_001.wav,western,hizlariak,elgoibar,egb-046-007,4.61
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_002.wav,elgoibar_egb-046-007_002.wav,western,hizlariak,elgoibar,egb-046-007,5.82
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_003.wav,elgoibar_egb-046-007_003.wav,western,hizlariak,elgoibar,egb-046-007,4.29
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_004.wav,elgoibar_egb-046-007_004.wav,western,hizlariak,elgoibar,egb-046-007,11.55
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_005.wav,elgoibar_egb-046-007_005.wav,western,hizlariak,elgoibar,egb-046-007,1.28
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_006.wav,elgoibar_egb-046-007_006.wav,western,hizlariak,elgoibar,egb-046-007,6.21
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_007.wav,elgoibar_egb-046-007_007.wav,western,hizlariak,elgoibar,egb-046-007,8.64
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_008.wav,elgoibar_egb-046-007_008.wav,western,hizlariak,elgoibar,egb-046-007,3.81
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_009.wav,elgoibar_egb-046-007_009.wav,western,hizlariak,elgoibar,egb-046-007,2.3
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_010.wav,elgoibar_egb-046-007_010.wav,western,hizlariak,elgoibar,egb-046-007,1.5
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_011.wav,elgoibar_egb-046-007_011.wav,western,hizlariak,elgoibar,egb-046-007,9.18
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_012.wav,elgoibar_egb-046-007_012.wav,western,hizlariak,elgoibar,egb-046-007,1.34
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_013.wav,elgoibar_egb-046-007_013.wav,western,hizlariak,elgoibar,egb-046-007,3.23
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_014.wav,elgoibar_egb-046-007_014.wav,western,hizlariak,elgoibar,egb-046-007,1.09
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_015.wav,elgoibar_egb-046-007_015.wav,western,hizlariak,elgoibar,egb-046-007,1.5
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_016.wav,elgoibar_egb-046-007_016.wav,western,hizlariak,elgoibar,egb-046-007,4.51
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_017.wav,elgoibar_egb-046-007_017.wav,western,hizlariak,elgoibar,egb-046-007,2.82
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_018.wav,elgoibar_egb-046-007_018.wav,western,hizlariak,elgoibar,egb-046-007,6.18
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_019.wav,elgoibar_egb-046-007_019.wav,western,hizlariak,elgoibar,egb-046-007,3.55
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_020.wav,elgoibar_egb-046-007_020.wav,western,hizlariak,elgoibar,egb-046-007,1.73
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_021.wav,elgoibar_egb-046-007_021.wav,western,hizlariak,elgoibar,egb-046-007,2.18
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_022.wav,elgoibar_egb-046-007_022.wav,western,hizlariak,elgoibar,egb-046-007,3.1
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_023.wav,elgoibar_egb-046-007_023.wav,western,hizlariak,elgoibar,egb-046-007,15.0
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_024.wav,elgoibar_egb-046-007_024.wav,western,hizlariak,elgoibar,egb-046-007,1.22
data/processed/speech/ahotsak_subset/segments/elgoibar_egb-046-007_025.wav,elgoibar_egb-046-007_025.wav,western,hizlariak,elgoibar,egb-046-007,2.18
